Identifiant;Nom_officiel;Adresse;Lieu;Code_postal;Ville;Région;Departement;URL;Telephone;Categorie;Domaine_thematique;Histoire;Atout;Thèmes;Artiste;Personnage_phare;Intérêt;Protection_batiment;Protection_espace;Refmer;Annee_creation;Date_de_mise_a_jour;Coordonnees
M0992;musée Géo-Charles;1 rue Géo-Charles;;38130;Echirolles;Auvergne-Rhône-Alpes;Isère;www.echirolles.fr/culture-sports-loisirs/expos-et-musees/musee-geo-charles;04 76 22 58 63;;Art moderne et contemporain;"Ce musée est considéré comme l'un des premiers musées ""Sports/Culture"" en France. Il est créé en 1982 grâce à la donation de Géo-Charles, critique d'art, poète et sportif. Les collections sont composées d'oeuvres contemporaines illustrant le rapport entre l'art et le sport, et d'une collection beaux-arts de la première moitié du XXe siècle en relation avec Géo-Charles.";Sportif émérite et homme de lettres (lauréat du concours de littérature aux jeux Olympiques de 1924), Géo-Charles a collectionné de nombreuses œuvres d'art célébrant le sport. Le musée réunit peintures, dessins, sculptures et lithographies. Une manière décalée de découvrir le cubisme, le futurisme ou le surréalisme, pour les sportifs autant que pour les esthètes. À travers les œuvres de sa collection, on rencontre tour à tour l'écrivain, l'animateur, le chroniqueur et le sportif.;"Art moderne et contemporain;Beaux-Arts : Dessin, Peinture, Sculpture";Archipenko, Denain, Delaunay, Léger, Reth, Survage.;Géo-Charles, poète sportif, amateur d'art et collectionneur (1812-1963).;;;;;1982;2023-04-12;45.14935, 5.699614
M0998;musée de la Résistance et de la Déportation de l'Isère;14 rue Hébert;;38000;Grenoble;Auvergne-Rhône-Alpes;Isère;musees.isere.fr/musee/musee-de-la-resistance-et-de-la-deportation-de-lisere;04 76 42 38 53;;Ethnologie,Histoire;"En 1963, Henri Guillard, directeur de l'école primaire de la rue Lesdiguières, à Grenoble, membre actif de l'IDEM (Institut dauphinois de l'Ecole moderne pour la mise en œuvre de la méthode Freinet), son ami Pierre Dubois, inspecteur d'académie, adepte lui aussi de la pédagogie Freinet, et le Docteur Charles Katz, président de la section iséroise de l'ANACR (Association nationale des Anciens combattants de la Résistance), réalisent avec l'aide de Robert Avezou, directeur des Archives départementales de l'Isère, une exposition sur la Résistance dauphinoise. Son succès autant que l'envie de tous de donner suite à cette exposition, les amènent, rejoints par Gustave Estadès (ancien du mouvement Combat, déporté et membre du comité directeur de la section de l'Isère de la Fédération nationale des déportés, internés résistants et patriotes - FNDIRP), à fonder la même année, le Comité du musée de la Résistance dauphinoise.  Le musée de la Résistance dauphinoise est inauguré en 1966, dans un local de la ville de Grenoble (l'appartement natal de Stendhal), 14 rue Jean-Jacques Rousseau, par Hubert Dubedout, maire, en présence de Laure Moulin, sœur de Jean Moulin. En 1970, cette réalisation prend le nom de musée de la Résistance et de la Déportation et reçoit la même année, la visite et le soutien de Pierre Mendès-France, alors député de l'Isère. Au début des années 1980, les limites du musée, en termes d'accès, d'espace, de fonctionnement et de fréquentation, incitent l'association à demander son transfert dans un lieu plus approprié. En 1988, l'immeuble du 14 rue Hébert, propriété de la ville de Grenoble, alors libéré par le déménagement du centre communal d'action sociale (CCAS) est pressenti pour héberger le futur musée départemental. En 1993, le musée devient musée contrôlé par la direction des musées de France, ce qui lui permet d'obtenir son propre budget et son équipe. Le 1er juillet 1994, dans le cadre du cinquantième anniversaire de la Libération, a lieu l'inauguration du nouveau Musée de la Résistance et de la Déportation de l'Isère par Alain Carignon. L'association change de nom, elle devient désormais l'Association des membres fondateurs et des amis du Musée départemental de la Résistance et de la Déportation (AMRD) jusqu'en 1999, où il devient l'Association des Amis du Musée de la Résistance et de la Déportation de l'Isère (AAMRDI). Le Musée de la Résistance et de la Déportation de l’Isère prend un nouveau tournant en 2001, lorsque la structure se voit confier par le Conseil général de l'Isère l'instruction d'un projet de Maison des Droits de l'Homme, prolongement naturel des valeurs issues de la Résistance et reprises dans la Déclaration universelle de 1948.  Les collections du Musée de la Résistance et de la Déportation de l’Isère prennent plusieurs formes. Quatre grands ensembles peuvent être rapidement dégagés : - les archives papiers (documents originaux, photographies…)°; - les objets ; - les archives orales ; - les archives filmées.  Ces documents ne sont pas à l’inventaire, mais devraient à terme rejoindre les collections du musée au vu de la valeur que représentent les témoignages dans une structure fortement basée sur la mémoire. Ces documents sont d’autant plus à conserver que les acteurs de la Seconde Guerre mondiale ont presque tous disparus, faisant de cette mémoire un matériau historique majeur.";"Au terme de près de cinquante années d'acquisitions et de dons, près de huit mille pièces, objets et documents composent les collections du musée. Un fond précieux car unique, représentatif et diversifié : plus de quatre-vingts affiches originales, des dessins, de nombreuses photographies, des imprimés (tracts, rapports, brochures), des titres de la presse régionale (dont certaines collections complètes comme pour ""les Allobroges"") et bien sûr des objets (matériel de sabotage et de transmission, objets de la vie quotidienne sous l'occupation, etc.). Ce fonds a été complété à partir de 1990 par des archives sonores et vidéo filmées composées d'interviews d'une centaine d'anciens résistants et déportés. Répertoriées dans le cadre d'un inventaire informatisé, ces collections ont été déclarées d'intérêt public le 17 juin 1993 par le Conseil artistique de la Direction des Musées de France.";Histoire : Période historique (Deuxième guerre mondiale);;;Ancien bâtiment de l'institut de zoologie de l'université de Grenoble.;;Site patrimonial remarquable.;SPR8400061;1966;2023-04-12;45.190041, 5.735245
M1010;musée de la Soierie;9 boulevard du général Leclerc;;42190;Charlieu;Auvergne-Rhône-Alpes;Loire;musees-de-charlieu.webnode.fr/;04 77 60 28 84;"écomusée ; musée en zone rurale";Arts décoratifs,Beaux-arts,Ethnologie,Histoire,Technique et industrie;Musée municipal créé en 1992.;Depuis un siècle et demi, Charlieu est réputée pour ses exceptionnelles étoffes de soie destinées à la haute couture et à l'ameublement haut de gamme.  Ensemble de machines textiles en état de marche, dont la plupart datent du XIXe siècle.  De luxueuses robes de soie anciennes ainsi que des échantillons de créations conçues pour la haute couture sont également présentés.  Une partie du musée est consacrée à la dernière Corporation des Tisserands en activité en France : celle de Charlieu, qui organise tous les ans une fête unique et spectaculaire avec vente aux enchères de charges royales.  Projection audiovisuelle relatant les différentes étapes de la création d'un tissu.;"Arts décoratifs : Textiles;Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale;Sciences et techniques : Industrie";Armand Charnay;;Ancien Hôtel-Dieu du XVIIIe siècle.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00117452?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Charlieu%22%5D&last_view=%22list%22&idQuery=%2264aa3be-13ad-c5a5-73ef-01167225b7%22;Site inscrit.;PA00117452;;2025-04-10;46.160301, 4.17052
M1014;musée de Feurs;3 rue Victor de Laprade;;42110;Feurs;Auvergne-Rhône-Alpes;Loire;www.feurs.org/culture;04 77 26 24 48;;Archéologie,Beaux-arts;Créé en 1930 par volonté municipale, le musée a reçu par donations ou par dévolution un important mobilier archéologique.;Le musée de Feurs retrace l’histoire de la ville et de son territoire, de la Préhistoire à nos jours. La période historique la plus marquante de la ville est l’antiquité. En effet, Feurs est construite sur le site d’un village gaulois ségusiave ainsi que sur une importante ville gallo-romaine du Ier siècle : l'antique Forum Segusiavorum, chef-lieu de la cité des Ségusiaves. Le nom de la ville de Feurs et celui du territoire du Forez, au cœur du département de la Loire, proviennent du nom de cette ancienne cité gallo-romaine. Une seconde exposition permanente est consacrée au peintre paysagiste Charles Beauverie (1839-1923). Lyonnais d’origine, il a vécu de nombreuses années dans le Forez et a ainsi réalisé de nombreuses œuvres (huiles sur toile, eaux-fortes, aquarelles) en lien avec les paysages, la vie quotidienne au XIXe siècle… Cette exposition retrace également sa vie privée, sa famille, ses amis, ses passions pour l’archéologie et l’histoire. Le rez-de-chaussée accueille des expositions temporaires variées.;"Archéologie et histoire : Préhistoire, Gaulois, Gallo-romain, Moyen-Age, Epoque moderne et contemporaine;Beaux-Arts : Peinture, Eaux-fortes;Ethnologie : Vie quotidienne XIXe et XXe siècle, objets en lien avec la culture équine";Charles Beauverie, Auguste Ravier.;;Bâtiment du XVIIIe siècle (style maison bourgeoise – hôtel particulier) devenu propriété de la commune en 1975.;;;;;2023-04-12;45.744191, 4.219803
M1030;musée Marius Audin;place de l'hôtel de ville;;69430;Beaujeu;Auvergne-Rhône-Alpes;Rhône;beaujeu.reseaudesvilles.fr/fr/information/97744/musee-marius-audin;04 74 69 22 88;musée en zone rurale;Beaux-arts,Ethnologie,Histoire,Technique et industrie;Le musée est créé en 1942 par Marius Audin, maître imprimeur lyonnais et historien régional né à Beaujeu. Il s'agit pour lui de regrouper les témoins de la vie beaujolaise. Son travail est considérable et les collections qui en résultent sont d'une grande richesse. Depuis, elles sont complétées par des dons ou des acquisitions.;"Les objets rassemblés témoignent du passé de la vie beaujolaise : Intérieur beaujolais du XIXe siècle reconstitué, saboterie, tannerie, taillanderie, agriculture ancienne, modiste, chapelier, repasseuse. Ancienne chambre de l'Hôtel-Dieu avec les objets usuels des malades. Ancienne salle de classe, matériel et livres scolaires. La culture, le traitement des vignes et les vendanges, la vinification ; la tonnellerie, la commercialisation du vin, les tire-bouchons. Le compagnonnage (surtout la charpente). Les mines, la géologie. La préhistoire (collection Savoye).  Le musée présente aussi des documents sur les Sires de Beaujeu.  La salle « lapidaire » propose différents vestiges en particulier, ceux de la Collégiale des Sires.  Un don fait à Marius Audin par une antiquaire de Villefranche (Madame Poiron) permet d'avoir une collection de poupées anciennes avec leur mobilier et les accessoires à leur taille.  Enfin, une salle « Burnot » permet de découvrir l'art de la gravure au XXe siècle.";Ethnologie : Habitat, Mobilier, Métiers et Outils;Philippe Burnot (1877 - 1956), illustrateur et graveur ayant un atelier à Lyon et à Beaujeu.;Marius Audin (1872  - 1951). Enfant de Beaujeu devenu Maître imprimeur lyonnais. On lui doit de nombreuses études sur le Beaujolais et particulièrement, le glossaire du patois beaujolais (12.537 fiches).;Ancienne propriété privée (XVIIIe siècle).;;Abords d'un Monument historique.;;;2025-04-10;46.154524, 4.587482
M1034;Centre d'Histoire de la Résistance et de la Déportation;14 avenue Berthelot;;69007;Lyon;Auvergne-Rhône-Alpes;Rhône;www.chrd.lyon.fr/;04 78 72 23 11;;Histoire;Le CHRD a été créé en 1992, grâce aux collections de l'ancien musée associatif de la Résistance et de la Déportation de Lyon.;Lyon, « capitale de la Résistance », se devait de créer un Centre d'histoire digne du rôle qui fut le sien durant l'Occupation. Aménagé dans l'ancienne École de santé militaire, à l'intérieur même des bâtiments où le chef de la Gestapo de Lyon, Klaus Barbie, a sévi, le Centre d'Histoire de la Résistance et de la Déportation s'attache à être plus qu'un simple musée du souvenir. C'est un lieu fort et symbolique au service de l'Histoire et de la Mémoire. Un lieu qui invite à revisiter, à travers son exposition permanente, l'une des plus sombres périodes de notre histoire, et aussi un centre de réflexion ouvert, par ses nombreuses expositions temporaires, sur le monde contemporain.;"Beaux-Arts : Sculpture (Résistance et déportation);Collections militaires : Armes, Uniformes, Armures (Tenues de déportés, casques, fanions, brassards, drapeaux, parachutes, containers, etc);Autres collections : Archives papier (653 dossiers d'archives, presse de l'époque), Archives sonores (Une dizaine de disques de l'époque), Image animée (300 témoignages), Photographie (3 000 photographies, 60 affiches), Manuscrits, incunables (Une dizaine de manuscrits), Numismatique (200 pièces d'époque), Partitions (Chants de la Résistance), Philatélie (50 (planches comprenant des timbres et des flammes relatifs à des événements commémoratifs), ), Autre(s), (Objets confectionnés dans les camps de concentration);Ethnologie : Mobilier;Histoire : Période historique (Deuxième guerre mondiale);Sciences et techniques : Communication (3 postes TSF, 1 récepteur MCRI pour transmission radio), Autre(s), (Presse, plombs, logotype, tampons (matériel de presse clandestine), ),";;;"AEntre 1889 et 1894, l’architecte en chef de la Ville de Lyon, Abraham Hirsch, chapeaute la construction de bâtiments destinés à accueillir l’École du Service de santé militaire, dont le CHRD occupe aujourd’hui la majeure partie de l’aile est. Situé le long de l’avenue Berthelot, dans le 7e arrondissement, le terrain affecté au projet voit émerger deux ensembles : l’un réservé aux bâtiments principaux ; l’autre dévolu aux annexes de l’École et relié au premier par une passerelle baptisée « pont des soupirs ». L’école à proprement parler s’ordonne en trois pavillons (Percy, Larrey et Desgenettes) autour d’une vaste cour intérieure arborée. En 1912, les bâtiments Larrey et Desgenettes sont surélevés d’un étage pour augmenter la capacité d’accueil de l’établissement, portée de 260 à 480 logements étudiants à la rentrée 1913. Pendant la Seconde Guerre mondiale, le bâtiment devient le siège de la Gestapo de Lyon.";;Site patrimonial remarquable. Site inscrit. Patrimoine mondial de l'UNESCO.;SPR8400131;;2024-02-07;45.747037, 4.835797
M1040;musée Henri Malartre;645 rue du musée;château;69270;Rochetaillée-sur-Saône;Auvergne-Rhône-Alpes;Rhône;www.musee-malartre.com;04 78 22 18 80;;Histoire,Technique et industrie;Créé en 1959 par Henri Malartre, négociant en métaux devenu collectionneur de voitures. Voulant préserver sa collection, il vend son musée à la Ville de Lyon en 1972. Le musée rappelle que la ville compta parmi les berceaux mondiaux de l'automobile à la fin du XIXe siècle.;"Le musée présente l'évolution de l'automobile et des cycles, voitures individuelles et transports en commun lyonnais depuis les origines à travers une triple collection d'automobiles, motos et cycles, environnée d'affiches, accessoires (mascottes, lanternes, radiateurs...), miniatures (Norev), etc.  Tous les véhicules sont en état de marche :  - 120 voitures de 1890 à 1986 ; - 60 motos et side-cars de 1904 à 1964 ; - 51 cycles de 1818 (la draisienne) aux années 1960 ; - 7 véhicules de transports en commun de Lyon.  Le 1er samedi de chaque mois, le musée invite ses visiteurs à prendre place à bord de véhicules de sa collection pour une promenade dans les allées du parc.  Mondialement réputé pour sa série d'ancêtres automobiles, le musée conservé également 120 affiches publicitaires d'époque, des accessoires, des moteurs dont certains très rares (celui construit par Mieusset à Lyon en 1903 ou le 16 cylindres en double V de M.Mougeotte (1916), sécrétan à vapeur de 1890, scotte à vapeur de 1892, Rochet-Schneider 1895, Laspougeas 1896, Audibert et Lavirotte 1898, Gobron-Brillié 1989, Rochet Frères 1898, Cottereau 1899, Noêl Benet 1900, Milde electrique 1900, Luc Court 1901, Core 1904, Ours 1907, Thieulin 1908, Théophile Schneider 1925, Jean Gras 1926, Citroën 1936, S.T.E.L.A. électrique 1941).";Sciences et techniques : Transports terrestres;;Henri Malartre (1905 - 2005). Véhicules ayant appartenu à des personnages célèbres : la Mercedes blindée d'Hitler, la Renault-Espace de Jean-Paul II, la Packard d'Edith Piaf, la Delahaye du Maréchal de Lattre de Tassigny, la bicyclette d'Anquetil.;L’histoire du château remonte au XIIe siècle, par l’installation d’une motte castrale en surplomb de la Saône. L’Église en est propriétaire et l’administre jusqu’à la Révolution où il est saisi, puis vendu comme bien national. Le site, dans son aspect actuel, doit beaucoup à Jean-Joseph Clerc (son propriétaire au début du XXe siècle) et à son architecte Alexis Santu. Imprégné du style Belle‑époque, le château a conservé des traces de son existence passée dont quelques éléments sont encore visibles tels que la tour médiévale, certains décors Renaissance.;;;;;2024-02-07;45.84492, 4.837207
M1044;musée archéologique;place Maurice Mollard;hôtel de ville;73103;Aix-les-Bains;Auvergne-Rhône-Alpes;Savoie;;04 79 61 06 57;Musée de site;Archéologie;Les collections de l'ancien musée Lepic, créé en 1872, ainsi qu'une importante collection lapidaire gallo-romaine, ont été réinstallés en 1948 dans une partie du temple de Diane.;Objets recueillis sur les sites des cités installées sur les rives du lac du Bourget à l'âge du bronze final. Ensemble de statues dont un très beau torse en marbre, sans doute celui d'un empereur statufié en Hercule. Inscriptions religieuses, administratives ou funéraires témoignant du Vicus romain Aquae et de ses environs;Archéologie nationale : Préhistoire, Gallo-romain;;;Temple romain;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00118173?base=%22merimee%22&qb=%5B%7B%22field%22%3A%5B%22COM.keyword%22%2C%22WCOM.keyword%22%2C%22REG.keyword%22%2C%22PLOC.keyword%22%2C%22LIEU.keyword%22%2C%22DPT.keyword%22%2C%22CANT.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22Aix-les-Bains%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%2C%7B%22field%22%3A%5B%22DENO.keyword%22%2C%22PARN.keyword%22%2C%22PART.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22Temple%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A1%7D%5D&last_view=%22list%22&idQuery=%22c1207-5af2-d6d2-87bc-00a28255e1f%22;Abords d'un Monument historique.;"PA00118173;IA73001294";;2024-02-07;45.68863382600499, 5.915600925206359
M1047;musée du Costume;Hauteville-Gondon;place de l'église;73700;Bourg-Saint-Maurice;Auvergne-Rhône-Alpes;Savoie;;04 79 07 23 33;;Ethnologie;Inauguré en 1988, le musée avait pour vocation de présenter la diversité des costumes portés à la fin du siècle dernier dans différents villages de Savoie en mettant l'accent sur celui de Bourg-Saint-Maurice.;;"Arts décoratifs : Textiles;Beaux-Arts : Peinture;Ethnologie : Costume, Métiers et Outils";;;La réserve est installée dans l'ancien presbytère.;;;;;2025-03-07;45.597053, 6.760997
M1048;musée des beaux-arts;place du palais de justice;ancienne Grenette;73000;Chambéry;Auvergne-Rhône-Alpes;Savoie;www.chambery.fr/88-les-musees.htm;04 79 33 75 03;;Beaux-Arts;Créé en 1783 grâce au legs de l'abbé de Mellarède, le musées bénéficie de nombreux legs (Georges-Marie Raymon, le premier Syndic Tavernay, l’avocat François Guy, Etienne Rey, Léonce Mesnard) et de dons royaux. A partir de 1860, la Savoie étant annexée à la France, les dépôts de l'Etat sont nombreux. Les dons et legs du Baron Hector Garriod, collectionneur savoyard installé à Florence, qui cède près de 250 œuvres et le don du roi de Piémont-Sardaigne, Victor-Emmanuel II sont déterminants.;Peintures italiennes de la Renaissance au XVIIIe siècle, notamment baroque, peintures néoclassiques et collection de portraits italiens du XVIe au XVIIe siècles.  Portraits d’artistes français et savoyards des XVIIIe et XIXe siècles;"Art religieux (Retables);Arts décoratifs : Céramique;Beaux-Arts : Peinture, Sculpture";Paolo Uccello, Titien, Naldini, Mattia Preti, Luca Giordano, Solimena, Cocapani, Sauti di Tito, Bartolomeo di Fredi, Fragonard, Francesco Laurana, Jean de Bologne, Jules Daisay.;;Ancienne halle à grains surélevée au XIXe siècle pour en faire un musée-bibliothèque avec verrière pour l'éclairage zénithal.;;Site patrimonial remarquable.;SPR8400141;1783;2024-02-07;45.567896, 5.919306
M7038;muséum d'histoire naturelle;1 rue Dolomieu;;38000;Grenoble;Auvergne-Rhône-Alpes;Isère;www.grenoble.fr/1607-museum-de-grenoble.htm;04 76 44 05 35;;Sciences de la nature,Ethnologie,Afrique,Amérique,Asie,Océanie;C'est un cabinet d'histoire naturelle, fondé entre 1755 et 1791, qui est à l'origine du muséum de Grenoble, réunissant des spécimens adressés du monde entier par divers érudits, et passionnés.  Le muséum est officiellement créé en 1851 pour être rénové, après une période de sommeil, à partir de 1991.  Le muséum de Grenoble figure parmi les plus grands muséums en région, conservant près de 1,5 million de spécimens à découvrir sur collections.museum-grenoble.fr;Minéralogie : l'arrivée de la collection Gueymard, en 1851, donne ses lettres de noblesse à la collection de minéralogie du muséum de Grenoble. Elle comprend 415 espèces minérales différentes sur les 4.338 validées par l'IMA (International Mineralogy Association), ce qui est considérable. Il est fortement probable qu'un plus grand nombre d'espèces soit en réalité présent, car l'inventaire n'a été effectué pour l'heure qu'à hauteur de 25 %. Paléontologie : c'est en paléontologie que le muséum de Grenoble possède le plus grand nombre de spécimens géologiques. Les fossiles balaient toutes les ères depuis le précambrien avec les fossiles de Mer Blanche (Russie) de type Ediacara, jusqu'aux spécimens subfossiles d'ours des cavernes du Würm (- 10.000 ans). La collection de paléontologie dénombre pour l'heure 140 types et figurés. Ces spécimens étalons sont des pièces remarquables.  Pétrographie : c'est la science ayant pour objet la description des roches et l'analyse de leurs caractères structuraux, minéralogiques et chimiques. L'observation des roches permet de tracer l'évolution d'un massif voire de reconstituer une grande partie de son histoire. Cette collection de roches est pédagogique mais également historique, de nombreuses plaques polies datant d'avant 1851. La collection de l'Ingénieur des mines Johan-Gottfried Schreiber et celle de Maurice Chaper sont les vestiges de certaines parties du monde devenues inaccessibles pour différentes raisons : constructions de barrage ou de tunnel, conflits... D'autre part, la collection de pétrographie est agrémentée d'une modeste collection de météorites (10 m² d'étagère) intéressante de par la diversité des pièces. Botanique : les collections du muséum de Grenoble dans le domaine de la botanique sont d'une extrême richesse. Elles se présentent pour la majeure partie sous la forme d'herbiers, cependant il existe aussi des collections de bois, de champignons, de fruits ou de bocaux. Les herbiers regroupent environ 800.000 parts de plantes récoltées depuis le XVIIIe siècle. Ces herbiers couvrent surtout le secteur des Alpes françaises et de la région Auvergne-Rhône-Alpes, mais aussi le reste de la France, ainsi que l'Algérie. L'herbier historique de Dominique Villars, est une véritable mémoire de la flore dauphinoise. Zoologie : depuis la création du Cabinet d'histoire naturelle de Grenoble, en 1773, la politique d'acquisition et d'enrichissement des collections a consisté, pour les différents conservateurs de l'institution, à présenter au public à la fois une faune représentative de l'arc alpin et une faune exotique. La composition actuelle des collections de vertébrés du muséum de Grenoble rend compte de ces choix. Le muséum possède en effet des collections de référence importantes sur le plan scientifique pour un certain nombre d'espèces montagnardes mais aussi un grand nombre de spécimens originaires de tous les continents, des espèces rares ou menacées quand elles n'ont pas disparu, ou encore des pièces historiques. Aujourd'hui c'est un patrimoine d'environ 15.000 vertébrés (dont 2.000 mammifères, 8.000 oiseaux, 2.000 pièces ostéologiques).  Ethnologie : La présence de collections d'ethnologie extra-européenne au muséum de Grenoble est relativement tardive et commence, à de rares exceptions près, à la seconde moitié du XIXe siècle. A cette époque, la constitution progressive de vastes empires coloniaux amène la présence de militaires et d'administrateurs français sur des territoires de plus en plus étendus et donne l'occasion à des grenoblois expatriés de faire parvenir à leur ville natale des objets ethnologiques. Il faut ajouter à ces apports les objets océaniens issus des expéditions de Dumont d'Urville d'une part, et du Rhin d'autre part (collection Louis Arnoux), objets dans un premier temps conservés par les Bibliothèques municipales avant leur transfert au muséum entre 1905 et 1907. Les collections ethnologiques au muséum de Grenoble, ce sont aujourd'hui près de 2.000 objets, principalement africains et océaniens, mais aussi asiatiques et américains;"Archives papier, Fonds ancien d'imprimés, Image animée, Ouvrages de bibliophilie, Plans;Sciences de la nature : Botanique, Entomologie, Géologie, Herpétologie, Invertébrés, Ichtyologie, Malacologie, Mammalogie, Minéralogie, Ornithologie, Paléontologie";;Dominique Villars (1745 - 1814), médecin et botaniste dauphinois.;;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00117196?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Grenoble%22%5D&last_view=%22list%22&idQuery=%227756358-0cd5-cc2f-6830-8e41aed168c%22;Site patrimonial remarquable. Site inscrit.;"PA00117196;SPR8400061";1851;2023-04-12;45.188059, 5.735163
M0978;Cité de la préhistoire;site de l'aven d'Orgnac;;07150;Orgnac-L'Aven;Auvergne-Rhône-Alpes;Ardèche;www.orgnac.com/;04 75 38 65 10;musée en zone rurale;Archéologie;Créé en 1988 à l'initiative des préhistoriens travaillant sur le territoire en vue de rassembler les collections, jusqu'alors éparses, issues de plus d'un siècle de recherches sur le département de l'Ardèche. Conservatoire de la mémoire de la préhistoire de l'Ardèche et du nord du Gard, le musée devient, en 2005, dépôt de fouille départemental. Anciennement intitulé « Le musée régional de préhistoire », l'établissement est entièrement rénové en 2014 et appelé « La Cité de la Préhistoire ». Il fait partie intégrante du Grand Site de France de l'Aven d'Orgnac qui regroupe une grotte naturelle, 390 ha de surface classée avec notamment deux sites archéologiques majeurs : Orgnac 3 et Baume de Ronze. Il se situe à proximité des gorges de l'Ardèche.;Le propos du musée est résolument accessible à un large public familial tout en se basant sur un discours scientifique actualisé (88 chercheurs consultés pour la validation des contenus). La présentation associe un propos généraliste sur la préhistoire depuis 350.000 ans jusqu'à - 600 ans, à des focus qui valorisent le patrimoine ardéchois et gardois, notamment le patrimoine dolménique. Plusieurs niveaux de lecture sont présentés, avec notamment des animaux grandeur nature, des tables tactiles, des maquettes et des stands de manipulation. Des animations sont proposées gratuitement pendant les vacances scolaires.;Archéologie nationale : Préhistoire;;;;;Site classé. Grand Site de France.;;;2025-04-10;44.310413, 4.425665
